T	AX	AY	AZ	HX	HY	HZ	MX	MY	MZ	Temp	Move
75.676765	-0.80924016	5.305551	-8.26239	-0.105993815	-0.21864553	0.14913702	-190.8	30.000002	-270.0	26.220594	none
75.67895	-0.82121116	5.2959743	-8.267179	-0.103863284	-0.21385184	0.14753912	-190.8	30.000002	-270.0	26.139725	none
75.68114	-0.81642276	5.281609	-8.283937	-0.10359697	-0.21198763	0.14008227	-190.8	30.000002	-270.0	26.13074	none
75.68331	-0.80924016	5.2624555	-8.288726	-0.10013486	-0.21491711	0.13582122	-190.8	30.000002	-270.0	26.145716	none
75.68549	-0.80924016	5.255273	-8.360553	-0.09960223	-0.21864553	0.13022858	-191.40001	28.2	-276.6	26.202623	none
75.687675	-0.89064306	5.305551	-8.319851	-0.09427591	-0.22530343	0.11664646	-191.40001	28.2	-276.6	26.172672	none
75.689865	-0.8882488	5.377377	-8.39886	-0.09534117	-0.2330266	0.11105382	-191.40001	28.2	-276.6	26.103783	none
75.69205	-0.8523358	5.4204726	-8.453926	-0.094808534	-0.2396845	0.09880328	-191.40001	28.2	-276.6	26.139725	none
75.69422	-0.8523358	5.451597	-8.4347725	-0.09347696	-0.24927188	0.08655274	-191.40001	28.2	-276.6	26.115765	none
75.6964	-0.8595184	5.5162406	-8.432379	-0.09054748	-0.2593919	0.08042747	-184.20001	18.6	-277.80002	26.14871	none
75.698586	-0.89303726	5.547365	-8.513782	-0.084155895	-0.27563718	0.061252706	-184.20001	18.6	-277.80002	26.151707	none
75.700775	-0.94810385	5.523423	-8.480263	-0.082558	-0.28975195	0.051665325	-184.20001	18.6	-277.80002	26.11876	none
75.70296	-0.9528923	5.6096144	-8.48984	-0.0793622	-0.30679616	0.04181163	-184.20001	18.6	-277.80002	26.145716	none
75.70513	-0.92655605	5.6790466	-8.4826565	-0.075101145	-0.33848777	0.028229509	-187.8	30.6	-270.6	26.169678	none
75.70731	-0.92176765	5.781997	-8.391677	-0.066312715	-0.3683152	0.01438107	-187.8	30.6	-270.6	26.169678	none
75.7095	-0.9504981	5.767632	-8.312668	-0.055127434	-0.40266997	-0.008522116	-187.8	30.6	-270.6	26.106777	none
75.711685	-0.9864111	5.8203044	-8.403648	-0.04873585	-0.4181163	-0.023435818	-187.8	30.6	-270.6	26.097794	none
75.71387	-0.9768343	5.829881	-8.389283	-0.0396811	-0.41998053	-0.036218993	-187.8	30.6	-270.6	26.112768	none
75.71604	-1.0103531	5.825093	-8.47308	-0.032756884	-0.41385525	-0.052464273	-195.6	31.2	-278.40002	26.14272	none
75.71822	-0.9792285	5.8681884	-8.4826565	-0.027963191	-0.40373522	-0.071106404	-195.6	31.2	-278.40002	26.127745	none
75.72041	-0.9624691	5.923255	-8.418014	-0.016511599	-0.4002731	-0.09667275	-195.6	31.2	-278.40002	26.2176	none
75.722595	-0.9720459	5.973533	-8.432379	-0.00958738	-0.39947417	-0.11345066	-195.6	31.2	-278.40002	26.109774	none
75.72478	-0.9983821	5.9878983	-8.446744	7.9894834E-4	-0.40506682	-0.12969595	-188.40001	32.4	-271.2	26.169678	none
75.72695	-0.9935937	6.033388	-8.465898	0.011717909	-0.41039312	-0.14354439	-188.40001	32.4	-271.2	26.151707	none
75.72914	-0.9792285	6.019023	-8.554482	0.025033714	-0.41918156	-0.15845808	-188.40001	32.4	-271.2	26.184652	none
75.73132	-0.91458505	6.0597243	-8.53054	0.044208474	-0.43702474	-0.180296	-188.40001	32.4	-271.2	26.157696	none
75.733505	-0.9528923	6.0621185	-8.607155	0.06178534	-0.4527374	-0.1965413	-188.40001	32.4	-271.2	26.196632	none
75.73569	-0.9696517	6.0716953	-8.549694	0.07163903	-0.4679174	-0.20133498	-192.0	32.4	-271.2	26.175667	none
75.73788	-0.91937345	6.0621185	-8.588001	0.08974853	-0.48655954	-0.20985709	-192.0	32.4	-271.2	26.163687	none
75.74005	-0.94331545	6.0740895	-8.53054	0.10705908	-0.49667954	-0.22184132	-192.0	32.4	-271.2	26.13673	none
75.74223	-0.93613285	6.0621185	-8.564059	0.12516858	-0.5107943	-0.22956449	-192.0	32.4	-271.2	26.112768	none
75.744415	-0.8690952	6.114791	-8.4587145	0.15419704	-0.5270396	-0.23409186	-192.0	32.4	-271.2	26.145716	none
75.746605	-0.8762778	6.114791	-8.439561	0.170176	-0.5323659	-0.23782028	-188.40001	37.2	-277.2	26.202623	none
75.74879	-0.89543146	6.0764837	-8.394072	0.18961707	-0.52837116	-0.23755397	-188.40001	37.2	-277.2	26.199629	none
75.75096	-0.90500826	6.007052	-8.444349	0.2082592	-0.51665324	-0.23888555	-188.40001	37.2	-277.2	26.14272	none
75.75314	-0.93134445	5.971139	-8.47308	0.22663501	-0.49135324	-0.24021713	-188.40001	37.2	-277.2	26.13673	none
75.755325	-1.0031705	5.8945246	-8.492233	0.25086978	-0.44927529	-0.23169503	-198.6	35.4	-276.6	26.187649	none
75.75751	-0.9768343	5.8346696	-8.50181	0.27137613	-0.4146542	-0.2298308	-198.6	35.4	-276.6	26.178661	none
75.7597	-0.9744401	5.734113	-8.480263	0.28788772	-0.39228365	-0.2263687	-198.6	35.4	-276.6	26.163687	none
75.76187	-0.9935937	5.66947	-8.422802	0.3022688	-0.37736994	-0.21891184	-198.6	35.4	-276.6	26.175667	none
75.76405	-1.055843	5.6335564	-8.446744	0.3174488	-0.37444046	-0.21411815	-198.6	35.4	-276.6	26.154701	none
75.76624	-1.1061212	5.5282116	-8.3150625	0.34514567	-0.38748994	-0.20453078	-193.8	36.600002	-274.2	26.14272	none
75.768425	-1.13964	5.446809	-8.327033	0.36272255	-0.39068574	-0.20186761	-193.8	36.600002	-274.2	26.11876	none
75.77061	-1.1851299	5.3845596	-8.377312	0.3800331	-0.39760995	-0.19441076	-193.8	36.600002	-274.2	26.11876	none
75.77278	-1.1947067	5.3486466	-8.310274	0.3898868	-0.4082626	-0.18722023	-193.8	36.600002	-274.2	26.178661	none
75.77496	-1.1420342	5.327099	-8.154651	0.40586576	-0.41971418	-0.18056233	-193.20001	36.0	-271.2	26.172672	none
75.77715	-1.1300632	5.2289367	-7.9966335	0.42743737	-0.44821003	-0.18056233	-193.20001	36.0	-271.2	26.100788	none
75.779335	-1.1228806	5.2026005	-7.941567	0.4383563	-0.46259108	-0.17443706	-193.20001	36.0	-271.2	26.139725	none
75.78152	-1.0989386	5.116409	-7.7572136	0.44767737	-0.46871635	-0.17443706	-193.20001	36.0	-271.2	26.109774	none
75.78369	-1.1180922	5.0278234	-7.711724	0.4577974	-0.4673848	-0.17630127	-193.20001	36.0	-271.2	26.121754	none
75.78587	-1.079785	4.9919105	-7.6494746	0.46552056	-0.4577974	-0.17630127	-187.20001	38.4	-274.80002	26.14871	none
75.78806	-1.0390835	4.9583917	-7.5201874	0.4679174	-0.44714475	-0.17896444	-187.20001	38.4	-274.80002	26.22359	none
75.790245	-0.9983821	4.9536033	-7.398083	0.47324374	-0.44048685	-0.18455707	-187.20001	38.4	-274.80002	26.124748	none
75.79243	-0.92895025	4.9057193	-7.321469	0.4745753	-0.4394216	-0.18935075	-187.20001	38.4	-274.80002	26.178661	none
75.7946	-0.92176765	4.817134	-7.2448545	0.4745753	-0.4428837	-0.19787288	-191.40001	39.0	-274.2	26.190643	none
75.79679	-0.89543146	4.7907977	-7.2544312	0.46951532	-0.44687843	-0.20692763	-191.40001	39.0	-274.2	26.199629	none
75.79897	-0.842759	4.7165775	-7.16824	0.46871635	-0.45886266	-0.21385184	-191.40001	39.0	-274.2	26.187649	none
75.801155	-0.80684596	4.673482	-6.9862804	0.46525425	-0.4908206	-0.22503711	-191.40001	39.0	-274.2	26.211609	none
75.80334	-0.6967127	4.560954	-6.8641763	0.46232477	-0.49534798	-0.23648871	-191.40001	39.0	-274.2	26.172672	none
75.80551	-0.7158663	4.4939165	-6.801927	0.4575311	-0.49002165	-0.24367924	-187.20001	38.4	-276.0	26.169678	none
75.8077	-0.7493851	4.3861775	-6.715736	0.45220476	-0.46711847	-0.24873926	-187.20001	38.4	-276.0	26.208614	none
75.80988	-0.79248077	4.3598413	-6.8450227	0.44368264	-0.42983422	-0.2593919	-187.20001	38.4	-276.0	26.2176	none
75.812065	-0.82599956	4.3263226	-6.7731967	0.4346279	-0.36218992	-0.26818034	-187.20001	38.4	-276.0	26.127745	none
75.81425	-0.8355764	4.295198	-6.8402343	0.42290998	-0.31691617	-0.267914	-188.40001	39.600002	-277.2	26.166681	none
75.81644	-0.82360536	4.261679	-6.7205243	0.41225734	-0.2793656	-0.2759035	-188.40001	39.600002	-277.2	26.178661	none
75.81861	-0.8499416	4.249708	-6.6654577	0.4002731	-0.25379926	-0.27563718	-188.40001	39.600002	-277.2	26.163687	none
75.82079	-0.90500826	4.280833	-6.739678	0.39254996	-0.23116238	-0.27643612	-188.40001	39.600002	-277.2	26.163687	none
75.822975	-0.94570965	4.1922474	-6.6893997	0.37577203	-0.20772657	-0.272974	-188.40001	39.600002	-277.2	26.112768	none
75.825165	-1.0654198	4.235343	-6.7013707	0.36751625	-0.19707392	-0.27084348	-180.6	43.800003	-277.80002	26.181658	none
75.82735	-1.103727	4.2185836	-6.6846113	0.3568636	-0.18881813	-0.26977822	-180.6	43.800003	-277.80002	26.13673	none
75.82952	-1.079785	4.259285	-6.6893997	0.345412	-0.17976338	-0.26391926	-180.6	43.800003	-277.80002	26.157696	none
75.8317	-1.1923125	4.134786	-6.694188	0.33316147	-0.16431704	-0.25246766	-180.6	43.800003	-277.80002	26.154701	none
75.83389	-1.3120226	4.0438066	-6.76362	0.3158509	-0.12916331	-0.24314661	-180.6	43.800003	-277.80002	26.20562	none
75.836075	-1.3958195	3.916914	-6.7731967	0.3054646	-0.100933805	-0.23409186	-190.8	39.600002	-282.0	26.154701	none
75.83826	-1.42455	3.8594532	-6.8306575	0.29321405	-0.06791061	-0.22050974	-190.8	39.600002	-282.0	26.11876	none
75.84043	-1.4580688	3.787627	-6.919243	0.27670243	-0.048203215	-0.21118867	-190.8	39.600002	-282.0	26.145716	none
75.84261	-1.4915876	3.8307228	-6.9383965	0.2609898	-0.026897928	-0.19813919	-190.8	39.600002	-282.0	26.184652	none
75.8448	-1.4341269	3.7469256	-7.041347	0.24580978	-0.00958738	-0.1784318	-189.6	39.600002	-276.0	26.151707	none
75.846985	-1.4437037	3.691859	-7.1131735	0.23222765	-0.008255799	-0.16458336	-189.6	39.600002	-276.0	26.157696	none
75.84917	-1.4437037	3.6487634	-7.1371155	0.21758026	-0.014913702	-0.15286545	-189.6	39.600002	-276.0	26.163687	none
75.85134	-1.4460979	3.5769374	-7.1873937	0.20586236	-0.024501082	-0.14008227	-189.6	39.600002	-276.0	26.166681	none
75.85353	-1.4652514	3.5194764	-7.2807674	0.1917476	-0.041545313	-0.124902256	-189.6	39.600002	-276.0	26.145716	none
